vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip
50LD10150,5,4/27/2018 2:44,22,106.66829,10.768247,60.36975084,200,10,147.2684498,0.131407299,39
50LD10150,6,4/27/2018 2:45,24,106.66946,10.768905,60.36975084,200,20,145.0592709,0.660046332,39
50LD10150,0,4/27/2018 7:48,8,106.666725,10.7673,74.18911482,200,80,31.23661992,11.07537822,40
50LD10150,1,4/27/2018 7:48,11,106.667,10.767377,56.07742511,200,10,26.38227997,18.11168971,40
50LD10150,2,4/27/2018 7:48,11,106.6672,10.76751,54.15603554,200,10,47.27089054,1.921389568,40
50LD10150,3,4/27/2018 7:48,21,106.66755,10.76776,57.7694642,200,10,60.80635612,3.613428661,40
50LD10150,4,4/27/2018 7:49,17,106.66802,10.768053,61.78048804,200,10,60.83485588,4.011023839,40
50LD10150,5,4/27/2018 7:49,18,106.66851,10.768313,58.94482637,200,10,139.2304409,2.835661664,40
50LD10150,6,4/27/2018 7:49,29,106.6696,10.768962,58.0430805,200,20,69.00654473,0.901745878,40
50LD10150,7,4/27/2018 7:49,19,106.670135,10.769292,55.51265903,200,10,35.19338744,2.530421462,40
50LD10150,8,4/27/2018 7:49,6,106.6704,10.769472,45.08884167,200,10,21.66439751,10.42381736,40
50LD10150,9,4/27/2018 7:50,9,106.67054,10.76961,65.21697192,200,10,83.11418684,20.12813025,40
50LD10150,10,4/27/2018 7:50,12,106.67123,10.769925,65.21697192,200,30,170.6763166,3.79874406,40
50LD10150,0,4/27/2018 8:51,7,106.6726,10.770663,242.48737,200,3660,24.66728782,181.0691421,41
50LD10150,1,4/27/2018 8:51,7,106.6724,10.77056,239.7300224,200,10,82.98213591,2.757347612,41
50LD10150,2,4/27/2018 8:52,6,106.671745,10.770182,239.7300224,200,40,76.3314818,3.852931805,41
50LD10150,0,4/27/2018 8:53,17,106.67112,10.769875,247.4784765,200,90,35.51048861,3.895522318,42
50LD10150,1,4/27/2018 8:54,8,106.67082,10.769752,241.5321074,200,10,20.65800398,5.946369028,42
50LD10150,2,4/27/2018 8:54,10,106.670654,10.769663,239.0756484,200,10,56.63550317,2.456459014,42
50LD10150,3,4/27/2018 8:54,17,106.67021,10.7694,240.5780651,200,10,53.38377713,1.502416696,42
50LD10150,4,4/27/2018 8:54,25,106.669785,10.769163,239.7348009,200,10,71.57681331,0.843264218,42
50LD10150,5,4/27/2018 8:54,29,106.66922,10.768837,250.3360748,200,10,87.0656473,10.60127385,42
50LD10150,6,4/27/2018 8:54,29,106.66847,10.768572,249.5886345,200,10,90.9851831,0.7474403,42
50LD10150,7,4/27/2018 8:55,10,106.66769,10.768285,236.0580924,200,20,149.0940151,13.53054203,42
50LD10150,8,4/27/2018 8:55,14,106.66656,10.767533,239.7574184,200,30,43.06297528,3.699325922,42
50LD10150,9,4/27/2018 8:55,20,106.66622,10.767337,241.7264754,200,10,109.3108663,1.969057014,42
50LD10150,10,4/27/2018 8:56,18,106.66534,10.766869,234.7038812,200,20,65.72466119,7.022594126,42
50LD10150,11,4/27/2018 8:56,23,106.66485,10.766526,234.7038812,200,10,78.0401468,5.905600511,42
50LD10150,0,4/27/2018 9:49,15,106.664314,10.766062,61.30916293,200,3210,39.40960824,167.4891178,43
50LD10150,1,4/27/2018 9:50,11,106.66463,10.766233,58.53908397,200,10,102.632645,2.770078961,43
50LD10150,2,4/27/2018 9:50,15,106.66543,10.766717,58.53908397,200,30,115.1170719,4.734689917,43
50LD10150,0,4/27/2018 9:52,12,106.668045,10.76809,62.72090452,200,80,55.99886464,1.374487387,44
50LD10150,1,4/27/2018 9:52,26,106.6685,10.768322,60.7700901,200,10,171.757338,1.950814415,44
50LD10150,2,4/27/2018 9:52,29,106.66987,10.76908,60.86211866,200,20,156.570626,0.092028556,44
50LD10150,3,4/27/2018 9:53,17,106.67112,10.769769,59.23068523,200,20,63.16521039,1.631433428,44
50LD10150,4,4/27/2018 9:53,28,106.671616,10.770061,59.23068523,200,10,101.3504746,1.487688424,44
50LD10150,0,4/27/2018 10:58,15,106.6725,10.770652,250.9630166,200,3930,39.31636855,223.2410224,45
50LD10150,1,4/27/2018 10:59,6,106.67216,10.770536,235.2782031,200,10,76.58065,15.68481346,45
50LD10150,2,4/27/2018 11:00,7,106.671585,10.770142,239.8208174,200,60,20.25156746,4.542614264,45
50LD10150,3,4/27/2018 11:00,5,106.671425,10.77005,239.8208174,200,10,15.83460986,4.068932138,45
50LD10150,0,4/27/2018 11:01,2,106.6713,10.769934,242.4514532,200,50,23.44171664,67.78062037,46
50LD10150,1,4/27/2018 11:01,7,106.67111,10.769836,240.6534943,200,10,74.05369753,1.797958887,46
50LD10150,2,4/27/2018 11:01,16,106.67052,10.769508,245.341846,200,20,69.19177083,4.688351753,46
50LD10150,3,4/27/2018 11:02,17,106.669945,10.769247,245.341846,200,20,54.41874141,1.906539436,46
50LD10150,0,4/27/2018 11:02,18,106.6695,10.769027,243.2694299,200,10,241.2646071,0.165876676,47
50LD10150,1,4/27/2018 11:02,14,106.66753,10.768046,238.7503521,200,40,49.27988043,4.519077863,47
