y,x,ts,trip
10.768803,106.66667,1524820214,14986
10.769995,106.666145,1524820244,14986
10.771805,106.67059,1524824804,14988
10.772051,106.671295,1524824819,14988
10.770392,106.67186,1524849869,14989
10.769793,106.670876,1524849884,14989
10.766537,106.66507,1524845195,14991
10.766933,106.665764,1524845215,14991
10.7675085,106.666664,1524829750,14994
10.76689,106.66551,1524829780,14994
10.766729,106.665245,1524829790,14994
10.767823,106.67174,1524798090,14996
10.767846,106.67126,1524798100,14996
10.768074,106.66819,1524798200,14998
10.768191,106.66793,1524798230,14998
10.768138,106.66778,1524798240,14998
10.768043,106.667564,1524798250,14998
10.767953,106.66724,1524798260,14998
